-------------------------------------------------------------------------------------------------------------------------------
|Ce. |Material          |Texto breve de material                 |UMB| Libre utilización| Stock en tránsito|         Bloqueado|
-------------------------------------------------------------------------------------------------------------------------------
|F001|10035109          |ADITIVO ISOSTAB 6003                    |L  |        2.912,218 |                0 |                0 |
|F003|10035109          |ADITIVO ISOSTAB 6003                    |L  |          719,519 |                0 |                0 |
|F006|10035109          |ADITIVO ISOSTAB 6003                    |L  |        1.469,950 |                0 |                0 |
|F007|10035109          |ADITIVO ISOSTAB 6003                    |L  |        1.541,686 |                0 |                0 |
|F009|10035109          |ADITIVO ISOSTAB 6003                    |L  |          322,218 |                0 |                0 |
|F011|10035109          |ADITIVO ISOSTAB 6003                    |L  |        1.367,355 |                0 |                0 |
|F012|10035109          |ADITIVO ISOSTAB 6003                    |L  |          868,024 |                0 |                0 |
|F014|10035109          |ADITIVO ISOSTAB 6003                    |L  |                0 |                0 |                0 |
|F015|10035109          |ADITIVO ISOSTAB 6003                    |L  |          405,645 |                0 |                0 |
|F020|10035109          |ADITIVO ISOSTAB 6003                    |L  |          717,664 |                0 |                0 |
|F030|10035109          |ADITIVO ISOSTAB 6003                    |L  |          520,051 |                0 |                0 |
|F031|10035109          |ADITIVO ISOSTAB 6003                    |L  |                0 |                0 |                0 |
|F044|10035109          |ADITIVO ISOSTAB 6003                    |L  |                0 |                0 |                0 |
|F046|10035109          |ADITIVO ISOSTAB 6003                    |L  |        1.866,026 |                0 |                0 |
|F047|10035109          |ADITIVO ISOSTAB 6003                    |L  |        2.514,652 |                0 |                0 |
|F048|10035109          |ADITIVO ISOSTAB 6003                    |L  |                0 |                0 |                0 |
|F049|10035109          |ADITIVO ISOSTAB 6003                    |L  |        2.556,962 |                0 |                0 |
|F055|10035109          |ADITIVO ISOSTAB 6003                    |L  |        1.532,091 |                0 |                0 |
|F058|10035109          |ADITIVO ISOSTAB 6003                    |L  |        1.063,070 |                0 |                0 |
