16.08.2023                   Salida dinámica de lista                          1
--------------------------------------------------------------------------------
--------------------------------------------------------------------
|F. Entrega|Pedido.       |En lis.esp|Estatus pedido               |
--------------------------------------------------------------------
|16.08.2023|8014661525-P  |X         |En proceso - Cabecera        |
|15.08.2023|8014663387-P-S|X         |Completada - Cabecera        |
|16.08.2023|8014668577    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014598348    |          |Cancelada - Cabecera         |
|17.08.2023|8014598372    |          |Cancelada - Cabecera         |
|17.08.2023|8014598378    |          |Cancelada - Cabecera         |
|17.08.2023|8014598396    |          |Cancelada - Cabecera         |
|17.08.2023|8014661059    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014598382    |          |Cancelada - Cabecera         |
|17.08.2023|8014598386    |          |Cancelada - Cabecera         |
|17.08.2023|8014598392    |          |Cancelada - Cabecera         |
|17.08.2023|8014654642    |X         |Confirmada - Cabecera        |
|17.08.2023|8014662970    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014631818-P  |X         |Bloqueada - Cabecera         |
|17.08.2023|8014663331-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014631849    |X         |Bloqueada - Cabecera         |
|17.08.2023|8014668715    |          |Confirmada - Cabecera        |
|17.08.2023|8014649569    |X         |Cancelada - Cabecera         |
|17.08.2023|8014660442-S  |X         |Bloqueada - Cabecera         |
|17.08.2023|8014666473-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014661803-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014670105-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014667828-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014657386    |          |Confirmada - Cabecera        |
|17.08.2023|8014661787    |X         |Confirmada - Cabecera        |
|17.08.2023|8014646800-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014667653    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014650263-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014669527-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014661339-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014665996    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014654460-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014667890-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014662517-S  |          |Cancelada - Cabecera         |
|17.08.2023|8014665902    |          |Confirmada - Cabecera        |
|17.08.2023|8014627738    |X         |Confirmada - Cabecera        |
|17.08.2023|8014668360-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014663303-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014668949-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014669723-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014669625    |          |Confirmada - Cabecera        |
|17.08.2023|8014668166-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014647372-P-S|X         |Cancelada - Cabecera         |
|17.08.2023|8014657891-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014654718-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014651565-P  |          |Confirmada - Cabecera        |
|17.08.2023|8014627757    |X         |Confirmada - Cabecera        |
|17.08.2023|8014663686    |X         |Confirmada - Cabecera        |
|17.08.2023|8014667628-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014661660    |          |Confirmada - Cabecera        |
|17.08.2023|8014643914    |          |Confirmada - Cabecera        |
|17.08.2023|8014602582-P-S|X         |Bloqueada - Cabecera         |
|17.08.2023|8014662032-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014647902-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014641547-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014666498-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014643886-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014668834-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014665280    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665197    |          |Por confirmar - Cabecera     |
|17.08.2023|8014651280-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014666046    |X         |Confirmada - Cabecera        |
|17.08.2023|8014661219-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014658387-P-S|          |Confirmada - Cabecera        |
|17.08.2023|8014669979    |          |Confirmada - Cabecera        |
|17.08.2023|8014646500    |          |Confirmada - Cabecera        |
|17.08.2023|8014669704-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014665843    |X         |Confirmada - Cabecera        |
|17.08.2023|8014599210    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014640250-P-S|X         |Cancelada - Cabecera         |
|17.08.2023|8014653742    |X         |Confirmada - Cabecera        |
|17.08.2023|8014646509    |X         |Cancelada - Cabecera         |
|17.08.2023|8014615525-P-S|          |Cancelada - Cabecera         |
|17.08.2023|8014661349    |          |Confirmada - Cabecera        |
|17.08.2023|8014658061-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014669600    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014661750-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014669518-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014659123-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014658190-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014612543-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014667640-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014653128-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014667647-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014660439-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014642879    |X         |Cancelada - Cabecera         |
|17.08.2023|8014662600-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014668212-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014666291-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014653962    |          |Confirmada - Cabecera        |
|17.08.2023|8014641468    |          |Confirmada - Cabecera        |
|17.08.2023|8014653091-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014657868    |X         |Cancelada - Cabecera         |
|17.08.2023|8014670316    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014667177-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014652699-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014660559    |          |Confirmada - Cabecera        |
|17.08.2023|8014652559    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014654953-S  |X         |Bloqueada - Cabecera         |
|17.08.2023|8014670019-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014653341    |          |Confirmada - Cabecera        |
|17.08.2023|8014669609    |X         |Confirmada - Cabecera        |
|17.08.2023|8014643837    |          |Confirmada - Cabecera        |
|17.08.2023|8014664958    |          |Confirmada - Cabecera        |
|17.08.2023|8014435224-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014435254    |X         |Bloqueada - Cabecera         |
|17.08.2023|8014666239    |          |Confirmada - Cabecera        |
|17.08.2023|8014664022-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014668636-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014598430    |          |Cancelada - Cabecera         |
|17.08.2023|8014657415    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665849    |X         |Confirmada - Cabecera        |
|17.08.2023|8014650236-P  |X         |Confirmada - Cabecera        |
